,id,title,ingredients,NER,NER_mapped,NER_product_nl,NER_amount_used,NER_recipe_total_price
27,27,Easy Fudge,"['414.029 ml can sweetened condensed milk', '354.882 ml pkg. semi-sweet chocolate chips', '29.5735 ml sq. unsweetened chocolate if desired', '354.882 ml chopped nuts if desired', '4.92892 ml vanilla']","[""condensed milk"", ""semi-sweet chocolate chips"", ""unsweetened chocolate"", ""nuts"", ""vanilla""]","['milk', 'chocolate', 'chocolate', 'nuts', 'vanilla']","['AH Karnemelk', 'AH Hot choco', 'AH Hot choco', 'AH Walnoten', 'AH Muffin vanille']","[414.029, 354.882, 29.5735, 354.882, 492.892]",19.413813439583333
28,28,Taco-Filled Green Pepper,"['453.592 grams ground beef', '1.0 pkg. taco seasoning', '1.0 san kidney beans', '1.0 onion, chopped', '236.588 mlsalsa', '4.0 green peppers', '1.0 medium tomato, chopped', '118.294 mlcheddar cheese, shredded', '118.294 mlsour cream']","[""Ground Beef"", ""taco seasoning"", ""beans"", ""onion"", ""salsa"", ""green peppers"", ""Tomato"", ""cheddar cheese"", ""sour cream""]","['ground beef', 'seasoning', 'beans', 'onion', 'salsa', 'pepper', 'tomato', 'cheese', 'cream']","['AH Mager rundergehakt', 'AH Taco seasoning mix', 'AH Sojabonen', 'AH Rode uien', 'Mora Mexicaanse salsa', 'AH Rode peper', 'AH Roma tomaten', 'AH Leverkaas', 'AH Roomijsjes']","[453.592, 100.0, 100.0, 100.0, 236.588, 400.0, 100.0, 118.294, 118.294]",17.860713496428577
29,29,One Hour Rolls,"['236.588 ml milk', '29.5736 ml sugar', '1.0 pkg. dry yeast', '14.7868 ml salt', '44.3604 ml crisco oil', '473.176 ml plain flour']","[""milk"", ""sugar"", ""yeast"", ""salt"", ""Crisco oil"", ""flour""]","['milk', 'sugar', 'yeast', 'salt', 'oil', 'flour']","['AH Karnemelk', 'AH Rietsuiker', 'Il Molino Droge gist', 'AH Doperwten 0% zout', 'AH Slaolie', 'AH Tarwe bloem']","[236.588, 29.5736, 100.0, 1478.6799999999998, 44.3604, 473.176]",5.565241011520448
32,32,Cherry Pizza,"['2.0 cans cherry pie mix', '1.0 box deluxe white cake mix', '1.0 stick butter', '236.588 ml ground nuts']","[""cherry pie mix"", ""deluxe white cake mix"", ""butter"", ""ground nuts""]","['mix', 'cake mix', 'butter', 'nut']","['AH Hotmix', 'Pannenkoekenmix', 'AH Kruidenboter', 'AH Kokosnoot']","[200.0, 100.0, 100.0, 236.588]",11.640844444444443
35,35,Artichoke Dip,"['2.0 cans or jars artichoke hearts', '236.588 ml mayonnaise', '236.588 ml parmesan cheese']","[""hearts"", ""mayonnaise"", ""Parmesan cheese""]","['hearts', 'mayonnaise', 'cheese']","['AH Love hearts', 'AH Pesto mayonaise', 'AH Leverkaas']","[200.0, 236.588, 236.588]",9.387071333333333
36,36,Broccoli Dip For Crackers,"['473.176 ml sour cream', '1.0 pkg. dry vegetable soup mix', '295.735 ml pkg. frozen chopped broccoli, thawed and drained', '4.0 to 177.441 ml cheddar cheese, grated']","[""sour cream"", ""vegetable soup mix"", ""broccoli"", ""Cheddar cheese""]","['cream', 'mix', 'broccoli', 'cheese']","['AH Roomijsjes', 'AH Hotmix', 'AH Aspergebroccoli', 'AH Leverkaas']","[473.176, 100.0, 295.735, 400.0]",10.583066883333334
40,40,Chicken Stew,"['1360.7759999999998 grams chicken, boiled', '4.0 medium potatoes, diced', '2.0 medium onions, chopped', '473.176 ml can creamed corn', '473.176 ml can english peas', '473.176 ml can field peas', '473.176 ml can butter beans', '473.176 ml can tomatoes', '1360.3809999999999 ml can tomato juice', '1.0 small box macaroni', '14.7868 ml black pepper', '14.7868 ml salt', '14.7868 ml sugar']","[""chicken"", ""potatoes"", ""onions"", ""corn"", ""English peas"", ""peas"", ""butter beans"", ""tomatoes"", ""tomato juice"", ""macaroni"", ""black pepper"", ""salt"", ""sugar""]","['chicken', 'potatoes', 'onions', 'corn', 'pea', 'peas', 'bean', 'tomatoes', 'juice', 'macaroni', 'pepper', 'salt', 'sugar']","['AH Bapao kip', 'AH Stamppot aardappelen', 'AH Rode uien', 'AH Popcorn Zout', 'AH Kikkererwten', 'AH Kikkererwten', 'AH Sojabonen', 'AH Roma tomaten', 'AH Appelsap', 'Knorr Maaltijdmix macaroni', 'AH Rode peper', 'AH Doperwten 0% zout', 'AH Rietsuiker']","[1360.7759999999998, 400.0, 200.0, 473.176, 473.176, 473.176, 473.176, 473.176, 1360.3809999999999, 100.0, 1478.6799999999998, 1478.6799999999998, 1478.6799999999998]",45.05063820220293
41,41,Quick Coffee Cake(6 Servings)  ,"['44.3604 ml softened butter or margarine', '118.294 ml granulated sugar', '1.0 egg', '236.588 ml flour', '6.161149999999999 ml baking powder', '1.23223 ml salt', '78.86266666666666 ml milk', '1.23223 ml vanilla', '78.86266666666666 ml brown sugar, packed', '2.46446 ml cinnamon', '29.5736 ml butter or margarine']","[""butter"", ""sugar"", ""egg"", ""flour"", ""baking powder"", ""salt"", ""milk"", ""vanilla"", ""brown sugar"", ""cinnamon"", ""butter""]","['butter', 'sugar', 'egg', 'flour', 'baking powder', 'salt', 'milk', 'vanilla', 'sugar', 'cinnamon', 'butter']","['AH Kruidenboter', 'AH Rietsuiker', 'AH Lasagne ei', 'AH Tarwe bloem', 'Smaakt Wijnsteenbakpoeder', 'AH Doperwten 0% zout', 'AH Karnemelk', 'AH Muffin vanille', 'AH Rietsuiker', 'Bolletje Kanelly', 'AH Kruidenboter']","[44.3604, 118.294, 100.0, 236.588, 616.1149999999999, 123.223, 78.86266666666666, 123.223, 78.86266666666666, 246.446, 29.5736]",22.193745084925485
43,43,Quick Peppermint Puffs,"['8.0 marshmallows', '29.5736 ml margarine, melted', '59.147 ml crushed peppermint candy', '1.0 can crescent rolls']","[""marshmallows"", ""margarine"", ""peppermint candy"", ""crescent rolls""]","['marshmallows', 'margarine', 'candy', 'roll']","['Frisia Vegan marshmallows', 'Becel Light margarine', 'AH Parelkandijkoek', 'AH Saucijzenbroodje']","[800.0, 29.5736, 59.147, 100.0]",11.992840724379276
44,44,Fruit Pizza,"['1.0 box yellow cake mix', '59.147 ml water', '59.147 ml brown sugar', '118.294 ml soft butter', '2.0 eggs', '118.294 ml chopped nuts']","[""yellow cake mix"", ""water"", ""brown sugar"", ""butter"", ""eggs"", ""nuts""]","['cake mix', 'water', 'sugar', 'butter', 'eggs', 'nuts']","['Pannenkoekenmix', 'AH Kokoswater', 'AH Rietsuiker', 'AH Kruidenboter', 'AH Rondeel eieren M L', 'AH Walnoten']","[100.0, 59.147, 59.147, 118.294, 200.0, 118.294]",11.277449217142856
45,45,Chocolate Mint Bars,"['236.588 ml flour', '236.588 ml sugar', '118.294 ml oleo, softened', '4.0 eggs', '1.0 can chocolate syrup']","[""flour"", ""sugar"", ""oleo"", ""eggs"", ""chocolate syrup""]","['flour', 'sugar', 'oleo', 'eggs', 'syrup']","['AH Tarwe bloem', 'AH Rietsuiker', 'Napoleon Watermelon', 'AH Rondeel eieren M L', 'AH Thijmsiroop']","[236.588, 236.588, 118.294, 400.0, 100.0]",5.730508619930158
46,46,Beer Bread,"['709.764 ml self rising flour', '1.0 - 354.882 ml can beer', '14.7868 ml sugar']","[""flour"", ""beer"", ""sugar""]","['flour', 'beer', 'sugar']","['AH Tarwe bloem', 'Kasteelbier Rouge', 'AH Rietsuiker']","[709.764, 100.0, 1478.6799999999998]",6.108558275721211
49,49,Vegetable-Burger Soup,"['226.796 grams ground beef', '473.176 ml water', '4.92892 ml sugar', '1.0 pkg. cup-a-soup onion soup mix dry', '453.592 grams can stewed tomatoes', '236.588 ml can tomato sauce', '295.735 ml pkg. frozen mixed vegetables']","[""ground beef"", ""water"", ""sugar"", ""onion soup"", ""tomatoes"", ""tomato sauce"", ""frozen mixed vegetables""]","['beef', 'water', 'sugar', 'soup', 'tomatoes', 'tomato sauce', 'mix']","['AH Rosbief', 'AH Kokoswater', 'AH Rietsuiker', 'AH Erwtensoep', 'AH Roma tomaten', 'AH Pizzadeeg tomatensaus', 'AH Hotmix']","[226.796, 473.176, 492.892, 100.0, 453.592, 236.588, 295.735]",24.379383333333337
51,51,Creamy Coleslaw(Better Homes And Gardens)  ,"['946.352 ml shredded cabbage', '118.294 ml shredded carrots', '59.147 ml finely chopped green pepper', '29.5736 ml finely chopped onion', '118.294 ml mayonnaise', '14.7868 ml vinegar', '9.85784 ml sugar', '4.92892 ml celery seed', '1.23223 ml salt']","[""cabbage"", ""carrots"", ""green pepper"", ""onion"", ""mayonnaise"", ""vinegar"", ""sugar"", ""celery"", ""salt""]","['cabbage', 'carrots', 'pepper', 'onion', 'mayonnaise', 'vinegar', 'sugar', 'celery', 'salt']","['AH Chinese kool', 'AH Geschilde bospeen', 'AH Rode peper', 'AH Rode uien', 'AH Pesto mayonaise', 'AH Natuurazijn wit', 'AH Rietsuiker', 'Verstegen Selderijzout', 'AH Doperwten 0% zout']","[946.352, 118.294, 59.147, 29.5736, 118.294, 1478.6799999999998, 985.784, 492.892, 123.223]",45.85857518925741
53,53,Three Bean Salad,"['1.0 can green beans, wash and drain', '1.0 can yellow beans, wash and drain', '1.0 can kidney beans, wash and drain', '236.588 ml sugar', '118.294 ml salad oil', '157.7253333333333 ml vinegar', '78.86266666666666 ml water']","[""green beans"", ""yellow beans"", ""kidney beans"", ""sugar"", ""salad oil"", ""vinegar"", ""water""]","['bean', 'bean', 'bean', 'sugar', 'oil', 'vinegar', 'water']","['AH Sojabonen', 'AH Sojabonen', 'AH Sojabonen', 'AH Rietsuiker', 'AH Slaolie', 'AH Natuurazijn wit', 'AH Kokoswater']","[100.0, 100.0, 100.0, 236.588, 118.294, 157.7253333333333, 78.86266666666666]",11.031132413333335
55,55,Casserole Italiano,"['453.592 grams ground beef', '78.86266666666666 ml chopped onion', '1.0 can tomato soup', '473.176 ml cooked wide noodles', '2.46446 ml oregano', '2.46446 ml salt', '78.86266666666666 ml water', '236.588 ml cheese']","[""ground beef"", ""onion"", ""tomato soup"", ""noodles"", ""oregano"", ""salt"", ""water"", ""cheese""]","['beef', 'onion', 'soup', 'noodles', 'oregano', 'salt', 'water', 'cheese']","['AH Rosbief', 'AH Rode uien', 'AH Erwtensoep', 'AH Woknoedels', 'AH Scrocchi oregano', 'AH Doperwten 0% zout', 'AH Kokoswater', 'AH Leverkaas']","[453.592, 78.86266666666666, 100.0, 473.176, 246.446, 246.446, 78.86266666666666, 236.588]",23.287681255407964
58,58,Taco Dip,"['473.176 ml pkg. cream cheese, softened', '118.294 ml mayonnaise or salad dressing', '236.588 ml mild taco sauce', '2.0 to 4.0 thinly sliced green onions', '0.5 green pepper, chopped', '1.0 tomato, chopped', '236.588 ml mozzarella cheese', '236.588 ml cheddar cheese', '118.294 ml black olives optional', 'tortilla chips']","[""cream cheese"", ""mayonnaise"", ""taco sauce"", ""green onions"", ""green pepper"", ""tomato"", ""Mozzarella cheese"", ""Cheddar cheese"", ""black olives"", ""tortilla chips""]","['cheese', 'mayonnaise', 'taco sauce', 'onion', 'pepper', 'tomato', 'cheese', 'cheese', 'olive', 'chip']","['AH Leverkaas', 'AH Pesto mayonaise', 'Santa Maria Taco saus medium', 'AH Rode uien', 'AH Rode peper', 'AH Roma tomaten', 'AH Leverkaas', 'AH Leverkaas', 'AH Zoete olijven', 'AH Oven friet']","[473.176, 118.294, 236.588, 200.0, 50.0, 100.0, 236.588, 236.588, 118.294, 100.0]",15.432710342251948
59,59,Bonbon Cookies,"['226.796 grams soft butter', '118.294 ml peanut butter', '226.796 grams graham cracker crumbs', '473.176 ml coconut', '118.294 ml nut meats optional', 'dash of vanilla']","[""butter"", ""peanut butter"", ""graham cracker crumbs"", ""coconut"", ""nut meats"", ""vanilla""]","['butter', 'butter', 'cracker', 'coconut', 'meat', 'vanilla']","['AH Kruidenboter', 'AH Kruidenboter', 'AH Notenkraker', 'AH Kokos op te kloppen', 'AH Pekelvlees', 'AH Muffin vanille']","[226.796, 118.294, 226.796, 473.176, 118.294, 100.0]",19.937283333333333
61,61,Gooey Coffee Cake,"['1.0 yellow cake mix', '2.0 eggs', '1.0 stick oleo, melted', '236.588 ml chopped nuts', '2.0 eggs', '236.588 ml softened cream cheese', '453.592 grams powdered sugar']","[""yellow cake"", ""eggs"", ""oleo"", ""nuts"", ""eggs"", ""cream cheese"", ""powdered sugar""]","['cake', 'eggs', 'oleo', 'nuts', 'eggs', 'cheese', 'sugar']","['AH Cupcakes', 'AH Rondeel eieren M L', 'Napoleon Watermelon', 'AH Walnoten', 'AH Rondeel eieren M L', 'AH Leverkaas', 'AH Rietsuiker']","[100.0, 200.0, 100.0, 236.588, 200.0, 236.588, 453.592]",16.72652765206349
62,62,Phylis' Pineapple-Banana Salad,"['1.0 large can chunk pineapple', '4.0 to 5.0 bananas']","[""pineapple"", ""bananas""]","['pineapple', 'bananas']","['AH Doosje met ananas', 'AH Biologisch Fairtrade bananen']","[100.0, 400.0]",2.508
64,64,Pineapple Nut Pie,"['236.588 ml pkg. cream cheese', '1.0 can sweetened condensed milk', '118.294 ml crushed pineapple', '78.86266666666666 ml chopped nuts', '78.86266666666666 ml lemon juice']","[""cream cheese"", ""condensed milk"", ""pineapple"", ""nuts"", ""lemon juice""]","['cheese', 'milk', 'pineapple', 'nuts', 'juice']","['AH Leverkaas', 'AH Karnemelk', 'AH Doosje met ananas', 'AH Walnoten', 'AH Appelsap']","[236.588, 100.0, 118.294, 78.86266666666666, 78.86266666666666]",6.29170255111111
65,65,Annie'S Diabetic Candy,"['236.588 ml jell-o sugar-free vanilla or french vanilla pudding put in dry', '236.588 ml philadelphia light cream cheese', '29.5736 ml butter', '29.5736 ml peanut butter or more if you would like']","[""vanilla"", ""cream cheese"", ""butter"", ""peanut butter""]","['vanilla', 'cheese', 'butter', 'butter']","['AH Muffin vanille', 'AH Leverkaas', 'AH Kruidenboter', 'AH Kruidenboter']","[236.588, 236.588, 29.5736, 29.5736]",3.8623016000000003
66,66,Frozen Peach Mousse,"['4.0 medium peaches, peeled and chopped', '1.0 to 295.735 ml sugar', '295.735 ml sour cream use light', '59.147 ml lemon juice', '0.75 to 4.92892 ml vanilla']","[""peaches"", ""sugar"", ""sour cream"", ""lemon juice"", ""vanilla""]","['peaches', 'sugar', 'cream', 'juice', 'vanilla']","['Haribo Happy peaches', 'AH Rietsuiker', 'AH Roomijsjes', 'AH Appelsap', 'AH Muffin vanille']","[400.0, 100.0, 295.735, 59.147, 75.0]",4.676133895833334
68,68,Blueberry Surprise,"['1.0 stick margarine', '354.882 ml graham cracker crumbs', '59.147 ml granulated sugar']","[""margarine"", ""graham cracker crumbs"", ""granulated sugar""]","['margarine', 'cracker', 'sugar']","['Becel Light margarine', 'AH Notenkraker', 'AH Rietsuiker']","[100.0, 354.882, 59.147]",15.108822005454545
72,72,Dream Pie,"['vanilla wafers', 'butter']","[""vanilla wafers"", ""butter""]","['wafer', 'butter']","['AH Aardappelwafeltjes', 'AH Kruidenboter']","[100.0, 100.0]",1.5483333333333333
81,81,Egg Casserole,"['1.0 vidalia onion, chopped', '473.176 ml pkg. fresh mushrooms', '2.0 green peppers', '1.0 clove garlic', 'olive oil', '6.0 pieces bread buttered with either butter or margarine', '6.0 eggs', 'milk as much as you would like; to fluff eggs']","[""Vidalia onion"", ""fresh mushrooms"", ""green peppers"", ""clove garlic"", ""olive oil"", ""bread"", ""eggs"", ""milk""]","['onion', 'mushroom', 'pepper', 'garlic', 'oil', 'bread', 'eggs', 'milk']","['AH Rode uien', 'AH Champignonragout', 'AH Rode peper', 'AH Verse knoflook', 'AH Slaolie', 'AH Flatbread', 'AH Rondeel eieren M L', 'AH Karnemelk']","[100.0, 473.176, 200.0, 100.0, 100.0, 600.0, 600.0, 100.0]",21.163731742857145
82,82,Cranberry-Apple-Orange Salad,"['354.882 ml bag raw cranberries 473.176 ml', '236.588 ml sugar', '1.0 medium apple, peeled, cored and cut into wedges', '1.0 orange, peeled, seeded and broken in wedges', '88.7205 ml pkg. orange gelatin', '118.294 ml nuts optional']","[""cranberries"", ""sugar"", ""apple"", ""orange"", ""orange gelatin"", ""nuts""]","['cranberries', 'sugar', 'apple', 'orange', 'gelatin', 'nuts']","['AH Doosje met cranberries', 'AH Rietsuiker', 'AH Ananas', 'AH Handsinaasappelen', 'Dr. Oetker Bladgelatine helder', 'AH Walnoten']","[354.882, 236.588, 100.0, 100.0, 88.7205, 118.294]",10.099442032619047
84,84,Cranberry Salad,"['177.441 ml pkg. softened cream cheese', '29.5736 ml margarine', '29.5736 ml sugar', '473.176 ml can whole berry cranberry sauce', '177.441 ml crushed pineapple, drained', '118.294 ml chopped walnuts', '236.588 ml whipping cream']","[""cream cheese"", ""margarine"", ""sugar"", ""cranberry sauce"", ""pineapple"", ""walnuts"", ""whipping cream""]","['cheese', 'margarine', 'sugar', 'cranberry sauce', 'pineapple', 'walnuts', 'cream']","['AH Leverkaas', 'Becel Light margarine', 'AH Rietsuiker', 'Ocean Spray Whole cranberry sauce', 'AH Doosje met ananas', 'AH Ongebrande walnoten', 'AH Roomijsjes']","[177.441, 29.5736, 29.5736, 473.176, 177.441, 118.294, 236.588]",10.306742243454547
85,85,Cheese Dip,"['907.184 grams velveeta cheese', '443.60249999999996 ml can italian tomatoes', '2.0 small cans green chili peppers', '0.5 medium onion, minced', '3.0 cloves garlic', '2.46446 ml salt']","[""Velveeta cheese"", ""Italian tomatoes"", ""green chili peppers"", ""onion"", ""garlic"", ""salt""]","['cheese', 'tomato', 'chili', 'onion', 'garlic', 'salt']","['AH Leverkaas', 'AH Roma tomaten', 'AH Garnalen in chili olie', 'AH Rode uien', 'AH Verse knoflook', 'AH Doperwten 0% zout']","[907.184, 443.60249999999996, 200.0, 50.0, 300.0, 246.446]",34.73503028459384
86,86,Funnel Cake,"['315.4506666666666 ml flour', '6.161149999999999 ml salt', '2.46446 ml soda', '29.5736 ml sugar', '11.0901 ml baking powder', '1.0 egg, beaten', '157.7253333333333 ml milk more if batter is too thick', 'oil for frying', 'powdered sugar']","[""flour"", ""salt"", ""soda"", ""sugar"", ""baking powder"", ""egg"", ""milk"", ""oil"", ""powdered sugar""]","['flour', 'salt', 'soda', 'sugar', 'baking powder', 'egg', 'milk', 'oil', 'sugar']","['AH Tarwe bloem', 'AH Doperwten 0% zout', 'Driehoek Vloeibare soda', 'AH Rietsuiker', 'Smaakt Wijnsteenbakpoeder', 'AH Lasagne ei', 'AH Karnemelk', 'AH Slaolie', 'AH Rietsuiker']","[315.4506666666666, 616.1149999999999, 246.446, 29.5736, 1109.01, 100.0, 157.7253333333333, 100.0, 100.0]",33.966774673615575
88,88,Squash Casserole,"['1360.7759999999998 grams squash', '3.0 onions', '473.176 ml sour cream', '3.0 carrots, grated', '2.0 cans chicken or mushroom soup', '1.0 pkg. pepperidge farm stuffing mix', '1.0 stick butter', 'salt and pepper to taste']","[""squash"", ""onions"", ""sour cream"", ""carrots"", ""chicken"", ""stuffing mix"", ""butter"", ""salt""]","['squash', 'onions', 'cream', 'carrots', 'chicken', 'mix', 'butter', 'salt']","['AH Flespompoen stukjes', 'AH Rode uien', 'AH Roomijsjes', 'AH Geschilde bospeen', 'AH Bapao kip', 'AH Hotmix', 'AH Kruidenboter', 'AH Doperwten 0% zout']","[1360.7759999999998, 300.0, 473.176, 300.0, 200.0, 100.0, 100.0, 100.0]",17.369909978431373
91,91,Pound Cake,"['709.764 ml plain flour cake flour may be substituted for plain flour', '709.764 ml sugar', '2.46446 ml baking powder', '3.0 dashes of salt', '5.0 eggs', '2.0 sticks margarine', '118.294 ml butter flavor crisco', '236.588 ml sweet milk', '1.0 to 29.5736 ml flavoring lemon, vanilla or almond or a combination of the 3.0']","[""flour"", ""sugar"", ""baking powder"", ""salt"", ""eggs"", ""margarine"", ""butter"", ""sweet milk"", ""vanilla""]","['flour', 'sugar', 'baking powder', 'salt', 'eggs', 'margarine', 'butter', 'milk', 'vanilla']","['AH Tarwe bloem', 'AH Rietsuiker', 'Smaakt Wijnsteenbakpoeder', 'AH Doperwten 0% zout', 'AH Rondeel eieren M L', 'Becel Light margarine', 'AH Kruidenboter', 'AH Karnemelk', 'AH Muffin vanille']","[709.764, 709.764, 246.446, 300.0, 500.0, 200.0, 118.294, 236.588, 100.0]",15.876068585993684
92,92,Monkey Bread,"['2.0 loaves frozen bread, softened', '118.294 ml margarine', '236.588 ml brown sugar', '1.0 large box vanilla pudding not instant', '29.5736 ml milk', 'cinnamon to taste']","[""bread"", ""margarine"", ""brown sugar"", ""vanilla pudding"", ""milk"", ""cinnamon""]","['bread', 'margarine', 'sugar', 'pudding', 'milk', 'cinnamon']","['AH Flatbread', 'Becel Light margarine', 'AH Rietsuiker', 'Dr. Oetker Kloppudding aardbei', 'AH Karnemelk', 'Bolletje Kanelly']","[200.0, 118.294, 236.588, 100.0, 29.5736, 100.0]",6.421871799124839
